TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,2x2_pixel_surface_10000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,1,10000,red,squares,8,225,13,2.0101143933171253,7.85,,,,,,,,,,,,,,,,
2,2x2_pixel_surface_30000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,1,30000,red,squares,8,228,10,4.5518207967012145,8.0,,,,,,,,,,,,,,,,
3,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_270).mp4,1,10000,green,squares,8,228,10,0.1929986062612385,8.15,181.31212910198866,181.31212910198866,28195.40387674845,1.76039455545027,1.76039455545027,1.9225954165087777,1343.1191857538386,1343.1191857538386,1440.0,16875.841809417547,384.6582494336773,384.6582494336773,270.0,21661.24389463247,7946.0,305.0
4,2x2_pixel_surface_30000_color_mode_white_frequency_13_shape_squares_coordinate_(480_270).mp4,1,30000,white,squares,13,228,10,0.13884195885100398,13.15,,,,,,,,,,,,,,,,
5,2x2_pixel_surface_20000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_810).mp4,2,20000,white,squares,13,227,11,2.9565406331643675,12.85,35.713150080716396,35.713150080716396,92.00437130216116,-1.844487679028016,-1.844487679028016,0.02403703912768581,1430.24498616004,1430.24498616004,1440.0,29.949112694826074,776.0106378963262,776.0106378963262,810.0,87.04731606264036,7948.0,7948.0
6,2x2_pixel_surface_20000_color_mode_white_frequency_8_shape_squares_coordinate_(480_810).mp4,2,20000,white,squares,8,228,10,2.838516122382548,7.85,,,,,,,,,,,,,,,,
7,2x2_pixel_surface_10000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_810).mp4,2,10000,green,squares,13,228,10,0.7489108324588496,12.85,76.66566794288836,76.66566794288836,1364.2497612086386,-1.3272140089917845,-1.3272140089917845,0.11296520529321777,1457.6818564605328,1457.6818564605328,1440.0,162.75090981398668,735.9987116641529,735.9987116641529,810.0,1290.2847692677926,7956.0,2287.0
8,2x2_pixel_surface_30000_color_mode_white_frequency_19_shape_squares_coordinate_(480_810).mp4,2,30000,white,squares,19,228,10,7.990268987732295,18.85,84.11575715948572,84.11575715948572,2322.6315977751533,-0.9701895421498161,-0.9701895421498161,0.03059643535407316,528.7238388149635,528.7238388149635,480.0,1125.442295130434,742.4970562390158,742.4970562390158,810.0,1341.9900198931466,7966.0,6250.0
9,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(480_810).mp4,2,30000,white,squares,25,229,9,6.182584831044759,24.85,72.56643454067421,72.56643454067421,1983.515799038436,-0.6254776492128526,-0.6254776492128526,0.031402561010759125,539.3015168680765,539.3015168680765,480.0,1503.2521940107931,769.411744712991,769.411744712991,810.0,582.0746568754126,7944.0,6975.0
10,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(480_270).mp4,2,30000,white,squares,25,228,10,0.6322682937088993,24.85,,,,,,,,,,,,,,,,
11,2x2_pixel_surface_10000_color_mode_green_frequency_19_shape_squares_coordinate_(480_810).mp4,2,10000,green,squares,19,228,10,3.131338953620836,18.85,,,,,,,,,,,,,,,,
12,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(480_810).mp4,2,10000,green,squares,25,228,10,2.3478788486337754,24.85,52.22856966459123,52.22856966459123,67.49431410669094,-0.47031174720145313,-0.47031174720145313,0.09064655368752093,523.8455978397387,523.8455978397387,480.0,23.39034453708651,785.3540379301683,785.3540379301683,810.0,242.06756250697623,7962.0,7217.0
13,2x2_pixel_surface_10000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_270).mp4,2,10000,green,squares,19,227,10,7.980990924382402,18.85,,,,,,,,,,,,,,,,
14,2x2_pixel_surface_30000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_810).mp4,2,30000,white,squares,8,228,10,2.4470463551727146,8.0,109.31483965128167,109.31483965128167,51421.940235187576,-0.9838813898906442,-0.9838813898906442,0.5269831386084863,1397.9323533115085,1397.9323533115085,1440.0,48309.475934817,753.8593112566105,753.8593112566105,810.0,10140.734637866099,7942.0,7204.0
