experiment,combination,group,SNR mean,SNR std,number of samples
Experiment_1,frequency-pixel_surface-color,8-10000-green,2.640871959444444,2.0510141757374742,54
Experiment_1,frequency-pixel_surface-color,8-10000-red,3.31913993962963,3.375949696617922,54
Experiment_1,frequency-pixel_surface-color,8-10000-white,2.335925221111111,2.210727886859184,54
Experiment_1,frequency-pixel_surface-color,8-20000-green,3.9653893148148147,8.106785448554438,54
Experiment_1,frequency-pixel_surface-color,8-20000-red,4.623429550185185,7.121024732178023,54
Experiment_1,frequency-pixel_surface-color,8-20000-white,2.5829916292592596,2.2756102272743624,54
Experiment_1,frequency-pixel_surface-color,8-30000-green,2.920106385925926,2.9119380149608345,54
Experiment_1,frequency-pixel_surface-color,8-30000-red,3.77388923,3.8178635799960507,54
Experiment_1,frequency-pixel_surface-color,8-30000-white,3.604956672222222,3.97949153347333,54
Experiment_1,frequency-pixel_surface-color,13-10000-green,2.3702977603703705,2.109244532571384,54
Experiment_1,frequency-pixel_surface-color,13-10000-red,2.9571824907407405,2.823148154897044,54
Experiment_1,frequency-pixel_surface-color,13-10000-white,2.5210177555555555,2.0476471314913867,54
Experiment_1,frequency-pixel_surface-color,13-20000-green,3.217318605925926,2.46198031165474,54
Experiment_1,frequency-pixel_surface-color,13-20000-red,3.7381410899999996,4.647676329718496,54
Experiment_1,frequency-pixel_surface-color,13-20000-white,2.899399669259259,2.4240499979732797,54
Experiment_1,frequency-pixel_surface-color,13-30000-green,3.300573451111111,2.605238432641915,54
Experiment_1,frequency-pixel_surface-color,13-30000-red,3.962299194444444,3.4293266167810454,54
Experiment_1,frequency-pixel_surface-color,13-30000-white,3.332758786296296,3.646569915496486,54
Experiment_1,frequency-pixel_surface-color,19-10000-green,2.7352797650000005,2.628371356219075,54
Experiment_1,frequency-pixel_surface-color,19-10000-red,2.840513153148148,2.0639071738161188,54
Experiment_1,frequency-pixel_surface-color,19-10000-white,4.154770123518518,6.217708067721961,54
Experiment_1,frequency-pixel_surface-color,19-20000-green,3.0489541612962965,2.3346157669899927,54
Experiment_1,frequency-pixel_surface-color,19-20000-red,4.094489152407407,4.1686158439071335,54
Experiment_1,frequency-pixel_surface-color,19-20000-white,4.2866231087037034,4.036132082015408,54
Experiment_1,frequency-pixel_surface-color,19-30000-green,4.388477422407407,3.316448811462238,54
Experiment_1,frequency-pixel_surface-color,19-30000-red,3.829124580740741,3.027295610880572,54
Experiment_1,frequency-pixel_surface-color,19-30000-white,5.230873235185185,6.280059346421592,54
Experiment_1,frequency-pixel_surface-color,25-10000-green,4.535832510925926,4.669616700447289,54
Experiment_1,frequency-pixel_surface-color,25-10000-red,3.225778468518519,2.6618376299672035,54
Experiment_1,frequency-pixel_surface-color,25-10000-white,5.102836088703703,4.872940810284732,54
Experiment_1,frequency-pixel_surface-color,25-20000-green,4.661890107592592,6.522359892172174,54
Experiment_1,frequency-pixel_surface-color,25-20000-red,3.095695570370371,2.1623776750030808,54
Experiment_1,frequency-pixel_surface-color,25-20000-white,5.365071063333334,4.023100750858232,54
Experiment_1,frequency-pixel_surface-color,25-30000-green,4.130393273148148,3.515835496942492,54
Experiment_1,frequency-pixel_surface-color,25-30000-red,4.4122139157407405,5.379532732467052,54
Experiment_1,frequency-pixel_surface-color,25-30000-white,6.036921360185185,5.549272166359323,54
Experiment_1,frequency-pixel_surface-shape,8-10000-circles,2.6768690564814808,2.2342758787655503,54
Experiment_1,frequency-pixel_surface-shape,8-10000-squares,3.201638374259259,3.1623469574346217,54
Experiment_1,frequency-pixel_surface-shape,8-10000-triangles,2.417429689444444,2.3845219786029497,54
Experiment_1,frequency-pixel_surface-shape,8-20000-circles,3.271050015370371,3.53086057504411,54
Experiment_1,frequency-pixel_surface-shape,8-20000-squares,4.665625388148148,8.642726173396882,54
Experiment_1,frequency-pixel_surface-shape,8-20000-triangles,3.2351350907407403,5.939865722590684,54
Experiment_1,frequency-pixel_surface-shape,8-30000-circles,3.5854137629629634,3.7119736538441996,54
Experiment_1,frequency-pixel_surface-shape,8-30000-squares,3.4294065894444454,3.7544439461001238,54
Experiment_1,frequency-pixel_surface-shape,8-30000-triangles,3.2841319357407404,3.3735219411606527,54
Experiment_1,frequency-pixel_surface-shape,13-10000-circles,2.6883379907407403,1.7407900654308406,54
Experiment_1,frequency-pixel_surface-shape,13-10000-squares,2.348263011851852,2.0322825251062353,54
Experiment_1,frequency-pixel_surface-shape,13-10000-triangles,2.811897004074075,3.085760790697394,54
Experiment_1,frequency-pixel_surface-shape,13-20000-circles,3.3384282046296296,3.1072100579080315,54
Experiment_1,frequency-pixel_surface-shape,13-20000-squares,3.7322244912962965,4.34454461176,54
Experiment_1,frequency-pixel_surface-shape,13-20000-triangles,2.7842066692592593,2.2166157629990186,54
Experiment_1,frequency-pixel_surface-shape,13-30000-circles,3.6491881112962954,2.7592682896706155,54
Experiment_1,frequency-pixel_surface-shape,13-30000-squares,4.053796368333334,4.036009135987926,54
Experiment_1,frequency-pixel_surface-shape,13-30000-triangles,2.892646952222222,2.743305510928774,54
Experiment_1,frequency-pixel_surface-shape,19-10000-circles,3.240650743703704,3.3946976048249367,54
Experiment_1,frequency-pixel_surface-shape,19-10000-squares,2.916940372407407,2.272110401211157,54
Experiment_1,frequency-pixel_surface-shape,19-10000-triangles,3.572971925555555,5.846142600543847,54
Experiment_1,frequency-pixel_surface-shape,19-20000-circles,3.6077372633333336,3.1872566165835505,54
Experiment_1,frequency-pixel_surface-shape,19-20000-squares,3.77196759537037,4.337816853948919,54
Experiment_1,frequency-pixel_surface-shape,19-20000-triangles,4.050361563703705,3.306063413352984,54
Experiment_1,frequency-pixel_surface-shape,19-30000-circles,5.141916441481481,5.9049881614370525,54
Experiment_1,frequency-pixel_surface-shape,19-30000-squares,3.9465481251851857,3.6267360542498306,54
Experiment_1,frequency-pixel_surface-shape,19-30000-triangles,4.360010671666667,3.440802424891271,54
Experiment_1,frequency-pixel_surface-shape,25-10000-circles,4.0008022279629625,3.4668828290019236,54
Experiment_1,frequency-pixel_surface-shape,25-10000-squares,5.0344553029629635,4.754045856051591,54
Experiment_1,frequency-pixel_surface-shape,25-10000-triangles,3.8291895372222227,4.361138790843982,54
Experiment_1,frequency-pixel_surface-shape,25-20000-circles,4.640750616111112,4.6291551193080975,54
Experiment_1,frequency-pixel_surface-shape,25-20000-squares,4.896764345925925,5.678111175941962,54
Experiment_1,frequency-pixel_surface-shape,25-20000-triangles,3.58514177925926,3.385971177578216,54
Experiment_1,frequency-pixel_surface-shape,25-30000-circles,4.969667588333333,5.427935042150651,54
Experiment_1,frequency-pixel_surface-shape,25-30000-squares,5.604050977777778,5.639336715579371,54
Experiment_1,frequency-pixel_surface-shape,25-30000-triangles,4.005809982962963,3.4136488751191525,54
Experiment_1,frequency-color-shape,8-green-circles,3.2432981020370364,2.740051951847333,54
Experiment_1,frequency-color-shape,8-green-squares,3.925902925185185,8.216468400070372,54
Experiment_1,frequency-color-shape,8-green-triangles,2.357166632962963,1.7678750888880677,54
Experiment_1,frequency-color-shape,8-red-circles,3.6353537985185187,4.118046316304232,54
Experiment_1,frequency-color-shape,8-red-squares,3.8803791916666674,4.343623550837844,54
Experiment_1,frequency-color-shape,8-red-triangles,4.200725729629629,6.4476767124919565,54
Experiment_1,frequency-color-shape,8-white-circles,2.654680934259259,2.590366897963631,54
Experiment_1,frequency-color-shape,8-white-squares,3.490388235,3.6799587536871425,54
Experiment_1,frequency-color-shape,8-white-triangles,2.3788043533333334,2.4259491802501514,54
Experiment_1,frequency-color-shape,13-green-circles,3.1398828107407404,2.5012768875237295,54
Experiment_1,frequency-color-shape,13-green-squares,2.918499725740741,2.376107590417908,54
Experiment_1,frequency-color-shape,13-green-triangles,2.8298072809259263,2.423669763868104,54
Experiment_1,frequency-color-shape,13-red-circles,3.5967240125925923,2.9674514088017734,54
Experiment_1,frequency-color-shape,13-red-squares,3.950306162592593,4.651367496574286,54
Experiment_1,frequency-color-shape,13-red-triangles,3.1105926,3.330415535264764,54
Experiment_1,frequency-color-shape,13-white-circles,2.9393474833333335,2.343138609732423,54
Experiment_1,frequency-color-shape,13-white-squares,3.2654779831481484,3.6200415685677623,54
Experiment_1,frequency-color-shape,13-white-triangles,2.54835074462963,2.2007903815471437,54
Experiment_1,frequency-color-shape,19-green-circles,3.623182506666666,3.2394553564661246,54
Experiment_1,frequency-color-shape,19-green-squares,2.9606125822222222,2.3110050582484525,54
Experiment_1,frequency-color-shape,19-green-triangles,3.5889162598148143,2.9641856888235667,54
Experiment_1,frequency-color-shape,19-red-circles,3.794517002592593,3.6257815805039755,54
Experiment_1,frequency-color-shape,19-red-squares,3.4782008501851855,3.27283509117024,54
Experiment_1,frequency-color-shape,19-red-triangles,3.4914090335185186,2.784460802208817,54
Experiment_1,frequency-color-shape,19-white-circles,4.57260493925926,5.868003245038606,54
Experiment_1,frequency-color-shape,19-white-squares,4.196642660555555,4.57348514506349,54
Experiment_1,frequency-color-shape,19-white-triangles,4.903018867592592,6.283179165724585,54
Experiment_1,frequency-color-shape,25-green-circles,4.044865405185186,4.115317232992529,54
Experiment_1,frequency-color-shape,25-green-squares,5.543740048703705,6.356300106679248,54
Experiment_1,frequency-color-shape,25-green-triangles,3.7395104377777777,4.202193154143787,54
Experiment_1,frequency-color-shape,25-red-circles,3.578528987777778,3.4966731926320387,54
Experiment_1,frequency-color-shape,25-red-squares,4.160213403518518,4.705008570916354,54
Experiment_1,frequency-color-shape,25-red-triangles,2.9949455633333337,2.5904565916052973,54
Experiment_1,frequency-color-shape,25-white-circles,5.987826039444445,5.564888794205697,54
Experiment_1,frequency-color-shape,25-white-squares,5.831317174444443,4.7737930160534825,54
Experiment_1,frequency-color-shape,25-white-triangles,4.6856852983333335,4.052357598441252,54
Experiment_2,frequency-pixel_surface-color,8-10000-green,3.359311181666667,3.200271116861236,72
Experiment_2,frequency-pixel_surface-color,8-10000-red,2.979095585138888,3.46762930205554,72
Experiment_2,frequency-pixel_surface-color,8-10000-white,2.795438254861111,2.3124892149283833,72
Experiment_2,frequency-pixel_surface-color,8-20000-green,3.621278095,4.538188324074388,72
Experiment_2,frequency-pixel_surface-color,8-20000-red,3.8970824868055556,5.541739683828086,72
Experiment_2,frequency-pixel_surface-color,8-20000-white,2.745999134722222,2.4408837118664706,72
Experiment_2,frequency-pixel_surface-color,8-30000-green,4.026889344305555,6.555532535937639,72
Experiment_2,frequency-pixel_surface-color,8-30000-red,4.2606738425,4.470501638622435,72
Experiment_2,frequency-pixel_surface-color,8-30000-white,2.964050340555555,3.57332282238444,72
Experiment_2,frequency-pixel_surface-color,13-10000-green,2.500564337638889,1.935278635904148,72
Experiment_2,frequency-pixel_surface-color,13-10000-red,2.5346576830555554,2.0842964982859984,72
Experiment_2,frequency-pixel_surface-color,13-10000-white,2.497502031666667,2.451677051414654,72
Experiment_2,frequency-pixel_surface-color,13-20000-green,2.4202948720833337,2.1500584207646,72
Experiment_2,frequency-pixel_surface-color,13-20000-red,2.748752837916667,1.8515628972169096,72
Experiment_2,frequency-pixel_surface-color,13-20000-white,3.5085761476388893,2.9950293516734385,72
Experiment_2,frequency-pixel_surface-color,13-30000-green,2.48886200375,1.89325884063922,72
Experiment_2,frequency-pixel_surface-color,13-30000-red,5.00846750375,5.036999558768683,72
Experiment_2,frequency-pixel_surface-color,13-30000-white,2.851753675555556,2.3206421755729294,72
Experiment_2,frequency-pixel_surface-color,19-10000-green,2.6746818326388886,2.1516203424806917,72
Experiment_2,frequency-pixel_surface-color,19-10000-red,3.477065637638889,2.677325313715746,72
Experiment_2,frequency-pixel_surface-color,19-10000-white,3.69863698263889,4.054282339379407,72
Experiment_2,frequency-pixel_surface-color,19-20000-green,3.1550275108333334,2.6491990994211863,72
Experiment_2,frequency-pixel_surface-color,19-20000-red,4.199459409166668,6.441470734299817,72
Experiment_2,frequency-pixel_surface-color,19-20000-white,4.534732153888889,3.606577095926183,72
Experiment_2,frequency-pixel_surface-color,19-30000-green,3.2127707747222223,3.1143061508819248,72
Experiment_2,frequency-pixel_surface-color,19-30000-red,4.261772898888889,3.261139307877786,72
Experiment_2,frequency-pixel_surface-color,19-30000-white,5.132871485972222,5.204369858813084,72
Experiment_2,frequency-pixel_surface-color,25-10000-green,4.254838144166666,6.450022174402685,72
Experiment_2,frequency-pixel_surface-color,25-10000-red,2.7034825500000004,2.4761500746800165,72
Experiment_2,frequency-pixel_surface-color,25-10000-white,3.854991233055555,4.638371439771602,72
Experiment_2,frequency-pixel_surface-color,25-20000-green,3.8826197933333333,4.076297452869369,72
Experiment_2,frequency-pixel_surface-color,25-20000-red,3.480469444444444,2.4300259771256196,72
Experiment_2,frequency-pixel_surface-color,25-20000-white,4.843384361249999,4.522747684271598,72
Experiment_2,frequency-pixel_surface-color,25-30000-green,4.133292637638889,4.8694364078469485,72
Experiment_2,frequency-pixel_surface-color,25-30000-red,3.535539746805556,2.7598174937704294,72
Experiment_2,frequency-pixel_surface-color,25-30000-white,5.970379990833333,7.046078463147891,72
