Folder,Video,pixel_surface,color,shape,frequency,pp1,pp2,pp3,pp4,pp5,pp6
Experiment_1,1x1_pixel_surface_20000_color_mode_white_frequency_25_shape_triangles.mp4,20000,white,triangles,25,[1.80788394 2.60677375 1.81909286],[1.87205272 2.25498291 4.9139221 ],[2.56051645 7.89725345 1.9070952 ],[3.71054904 6.2805693  6.83867661],[ 4.21971595 15.56510381  9.58657974],[1.6045034  1.8377859  4.20317523]
Experiment_1,1x1_pixel_surface_30000_color_mode_red_frequency_25_shape_triangles.mp4,30000,red,triangles,25,[3.48796428 4.25744431 4.37579692],[14.21782339  0.9728457   1.75872726],[0.63279804 6.08970857 3.26944753],[4.28708594 7.59927888 3.0621715 ],[2.00856691 1.01479785 1.84525382],[1.03439184 0.92081242 7.32903306]
Experiment_1,1x1_pixel_surface_30000_color_mode_white_frequency_13_shape_circles.mp4,30000,white,circles,13,[3.5088921  2.52795977 3.98331146],[1.23817387 2.66989398 1.29465241],[0.61176241 2.31526044 2.24123603],[8.06263067 6.64996676 3.23820983],[ 3.52048016 15.82859143  3.36646963],[4.69649141 0.79314283 2.5922874 ]
Experiment_1,1x1_pixel_surface_30000_color_mode_white_frequency_8_shape_squares.mp4,30000,white,squares,8,[2.37602446 1.52784846 4.17082067],[8.82503437 4.52402737 1.7699655 ],[4.40119596 1.79205517 0.44220851],[ 1.46001006 12.4158432  11.40045368],[14.57200558 11.62459514  1.96259529],[0.96254317 2.18550454 1.16021499]
Experiment_1,1x1_pixel_surface_10000_color_mode_red_frequency_13_shape_squares.mp4,10000,red,squares,13,[1.37191684 2.52812731 3.1927687 ],[2.17083711 4.81564208 4.31015889],[0.34499668 0.98477952 1.00006203],[ 2.32286113  4.12561507 11.05175052],[0.86361859 1.80139481 4.53833269],[0.65938601 1.49327376 2.30518242]
Experiment_1,1x1_pixel_surface_10000_color_mode_red_frequency_19_shape_circles.mp4,10000,red,circles,19,[1.10251745 1.0235716  2.03537716],[0.84529177 6.01034175 0.21699354],[2.94095801 2.08819628 2.56937578],[1.51681168 7.47546432 2.888859  ],[4.36866356 0.86966173 3.73331697],[3.11151891 0.75383264 5.55487288]
Experiment_1,1x1_pixel_surface_10000_color_mode_white_frequency_13_shape_squares.mp4,10000,white,squares,13,[3.61622584 1.68353155 0.47925663],[1.30761497 7.99630351 2.16168923],[0.75365005 0.89029539 0.73975115],[0.93636799 1.85219536 2.83466183],[6.66989738 6.0134149  1.30001535],[2.55005337 0.95072385 1.80124841]
Experiment_1,1x1_pixel_surface_10000_color_mode_green_frequency_19_shape_circles.mp4,10000,green,circles,19,[2.48832821 0.56891625 1.02852804],[8.17223225 0.29561243 1.15802184],[1.13774632 0.85986454 1.73610317],[2.88183406 0.87976896 1.90501325],[2.31684887 6.3266815  1.12685687],[11.60332596  7.01328881  2.29190984]
Experiment_1,1x1_pixel_surface_30000_color_mode_white_frequency_13_shape_squares.mp4,30000,white,squares,13,[2.043315   3.44082196 0.72091937],[1.95991904 1.96177792 1.67793112],[1.37259273 1.44702624 1.25210358],[10.59345857  4.74921502  9.12269717],[3.08546945 1.63946727 6.49917067],[23.14760917  0.30910892  4.5505242 ]
Experiment_1,1x1_pixel_surface_30000_color_mode_green_frequency_25_shape_circles.mp4,30000,green,circles,25,[1.6072601  1.51440141 1.90861278],[7.65938257 2.30542324 2.0678048 ],[3.45281901 1.08055034 0.8346832 ],[7.01391109 3.88569588 2.71512708],[10.18859243  7.49882415 10.23461129],[2.04552015 1.18653383 5.13332009]
Experiment_1,1x1_pixel_surface_10000_color_mode_red_frequency_13_shape_triangles.mp4,10000,red,triangles,13,[3.7984833  2.77764695 1.95347564],[5.05012815 2.81096697 0.15521627],[1.07212018 0.61634467 0.55703623],[ 1.54758198 16.20271873  4.67569102],[1.42769036 0.41790397 1.92412242],[0.90163115 0.30573227 0.84069795]
Experiment_1,1x1_pixel_surface_20000_color_mode_green_frequency_8_shape_circles.mp4,20000,green,circles,8,[0.86884562 2.2198513  2.04295986],[4.41022887 8.01154639 2.46193211],[5.41968748 3.60383003 2.43964064],[1.76111049 1.67881546 0.91269623],[5.32124724 4.41330413 3.34844371],[1.45252886 0.6494826  2.59578821]
Experiment_1,1x1_pixel_surface_30000_color_mode_green_frequency_8_shape_triangles.mp4,30000,green,triangles,8,[1.45515267 2.15676689 1.16602564],[0.7709239  4.59512868 7.37270668],[0.71861208 1.21636321 3.42495643],[2.03909719 2.63854676 0.64365437],[2.79469258 1.76035437 3.1188405 ],[0.53575369 2.14977035 0.57655762]
Experiment_1,1x1_pixel_surface_20000_color_mode_white_frequency_13_shape_squares.mp4,20000,white,squares,13,[2.12460082 2.206872   1.53523039],[0.5953098  5.18245305 2.92617011],[11.19430625  3.08035455  2.48160842],[2.72173056 4.53925613 2.12918303],[4.57206844 1.85777961 2.42350394],[1.48514968 5.20143629 2.90343184]
Experiment_1,1x1_pixel_surface_20000_color_mode_green_frequency_25_shape_squares.mp4,20000,green,squares,25,[0.83024329 1.58849469 1.10723064],[3.31618579 3.31006126 4.34083644],[0.88475779 0.63921519 1.37739144],[6.55821224 1.43598638 2.3987905 ],[21.07031729 39.32231639 15.95725175],[1.74081785 1.07225769 1.37370904]
Experiment_1,1x1_pixel_surface_30000_color_mode_red_frequency_13_shape_squares.mp4,30000,red,squares,13,[1.75589849 2.77931869 6.16200112],[0.40737981 2.84838108 1.52183981],[2.71184874 1.19309794 6.32973142],[11.97422961  4.3903584   4.56260448],[7.23896797 1.10530055 9.64981628],[6.25215821 1.60740552 0.98322454]
Experiment_1,1x1_pixel_surface_20000_color_mode_white_frequency_13_shape_triangles.mp4,20000,white,triangles,13,[2.58904352 2.17350233 0.99065959],[5.70622995 0.65331555 4.73506983],[1.3149231  1.51793629 3.4662602 ],[0.71573552 2.71158736 1.90686558],[0.17723294 0.30550755 2.42971365],[2.35384369 7.42896997 0.892802  ]
Experiment_1,1x1_pixel_surface_20000_color_mode_red_frequency_13_shape_squares.mp4,20000,red,squares,13,[2.53289645 0.79314599 2.14948269],[1.72163249 0.50457415 1.08520474],[1.33127564 0.62562465 2.49114731],[22.37745522 22.45426696 11.63519287],[ 1.2468139   8.56595819 12.73305299],[2.63826463 0.68997839 1.30902746]
Experiment_1,1x1_pixel_surface_30000_color_mode_red_frequency_8_shape_squares.mp4,30000,red,squares,8,[0.4244628  9.6653779  1.93526949],[3.72562408 3.81832324 0.5890291 ],[0.72328161 1.0321624  1.10016519],[9.42589896 6.54404673 3.39593026],[0.73555668 2.55455473 1.57222118],[0.60379194 0.24018114 0.7925699 ]
