category,group,metric,p_value_bartlett,Variances equal?,ANOVA method,p_value ANOVA method,Mean different?,Type of post hoc test,p_value_matrix,Significance_matrix,,,,,,
Colors,['Black/Red' 'Black/Green' 'Black/White'],Comfort,0.953,Yes,One-way ANOVA,0.057,No,None,None,None,,,",952928883036399",,,"0,0574873398879626"
Colors,['Black/Red' 'Black/Green' 'Black/White'],Person's focus level,1.000,Yes,One-way ANOVA,0.063,No,None,None,None,,,",",,,"0,0634225469306117"
Colors,['Black/Red' 'Black/Green' 'Black/White'],Eye Irritation,0.923,Yes,One-way ANOVA,0.124,No,None,None,None,,,",923008408686799",,,"0,123953646920457"
Colors,['Black/Red' 'Black/Green' 'Black/White'],Focus level on stimulus center,0.718,Yes,One-way ANOVA,0.401,No,None,None,None,,,",718203681795633",,,"0,400847736977809"
Colors,['Black/Red' 'Black/Green' 'Black/White'],Had to blink a lot,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Frequency,['High frequency' 'Middle Frequency' 'Low Frequency'],Comfort,0.953,Yes,One-way ANOVA,0.057,No,None,None,None,,,",952928883036399",,,"0,0574873398879626"
Frequency,['High frequency' 'Middle Frequency' 'Low Frequency'],Person's focus level,1.000,Yes,One-way ANOVA,0.063,No,None,None,None,,,",",,,"0,0634225469306117"
Frequency,['High frequency' 'Middle Frequency' 'Low Frequency'],Eye Irritation,0.923,Yes,One-way ANOVA,0.124,No,None,None,None,,,",923008408686799",,,"0,123953646920457"
Frequency,['High frequency' 'Middle Frequency' 'Low Frequency'],Focus level on stimulus center,0.718,Yes,One-way ANOVA,0.401,No,None,None,None,,,",718203681795633",,,"0,400847736977809"
Frequency,['High frequency' 'Middle Frequency' 'Low Frequency'],Had to blink a lot,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Shapes,['Triangle' 'Square' 'Circle'],Comfort,0.953,Yes,One-way ANOVA,0.057,No,None,None,None,,,",952928883036399",,,"0,0574873398879626"
Shapes,['Triangle' 'Square' 'Circle'],Person's focus level,1.000,Yes,One-way ANOVA,0.063,No,None,None,None,,,",",,,"0,0634225469306117"
Shapes,['Triangle' 'Square' 'Circle'],Eye Irritation,0.923,Yes,One-way ANOVA,0.124,No,None,None,None,,,",923008408686799",,,"0,123953646920457"
Shapes,['Triangle' 'Square' 'Circle'],Focus level on stimulus center,0.718,Yes,One-way ANOVA,0.401,No,None,None,None,,,",718203681795633",,,"0,400847736977809"
Shapes,['Triangle' 'Square' 'Circle'],Had to blink a lot,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Size stimulus,['Small size' 'Medium size' 'Large Size'],Comfort,0.953,Yes,One-way ANOVA,0.057,No,None,None,None,,,",952928883036399",,,"0,0574873398879626"
Size stimulus,['Small size' 'Medium size' 'Large Size'],Person's focus level,1.000,Yes,One-way ANOVA,0.063,No,None,None,None,,,",",,,"0,0634225469306117"
Size stimulus,['Small size' 'Medium size' 'Large Size'],Eye Irritation,0.923,Yes,One-way ANOVA,0.124,No,None,None,None,,,",923008408686799",,,"0,123953646920457"
Size stimulus,['Small size' 'Medium size' 'Large Size'],Focus level on stimulus center,0.718,Yes,One-way ANOVA,0.401,No,None,None,None,,,",718203681795633",,,"0,400847736977809"
Size stimulus,['Small size' 'Medium size' 'Large Size'],Had to blink a lot,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Stimulus mode,['Single stimulus' 'Multiple stimuli'],Comfort,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Stimulus mode,['Single stimulus' 'Multiple stimuli'],Person's focus level,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Stimulus mode,['Single stimulus' 'Multiple stimuli'],Eye Irritation,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Stimulus mode,['Single stimulus' 'Multiple stimuli'],Focus level on stimulus center,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
Stimulus mode,['Single stimulus' 'Multiple stimuli'],Had to blink a lot,0.662,Yes,One-way ANOVA,0.639,No,None,None,None,,,",662323139889191",,,"0,639300726238584"
